iter	Passed	Remaining
594	870	592
595	871	590
596	872	588
597	874	587
598	875	586
599	876	584
600	877	582
601	878	581
602	879	579
603	880	577
604	881	575
605	882	574
606	884	572
607	884	570
608	885	568
609	887	567
610	888	565
611	890	564
612	890	562
613	891	560
614	892	558
615	893	557
616	894	555
617	895	553
618	896	552
619	897	550
620	899	548
621	899	546
622	900	545
623	901	543
624	902	541
625	904	540
626	905	538
627	905	536
628	906	534
629	907	533
630	908	531
631	909	529
632	910	527
633	911	526
634	912	524
635	913	523
636	914	521
637	915	519
638	916	517
639	917	516
640	919	515
641	920	513
642	921	511
643	922	510
644	923	508
645	924	506
646	925	504
647	926	503
648	927	501
649	928	499
650	929	498
651	930	496
652	931	495
653	933	493
654	934	492
655	935	490
656	936	488
657	937	487
658	938	485
659	938	483
660	939	481
661	940	480
662	941	478
663	942	476
664	943	475
665	944	473
666	946	472
667	947	470
668	948	469
669	949	467
670	950	466
671	952	464
672	953	463
673	954	461
674	955	460
675	957	458
676	958	457
677	959	455
678	960	454
679	963	453
680	964	451
681	965	450
682	967	448
683	968	447
684	969	446
685	971	444
686	972	442
687	973	441
688	977	440
689	979	440
690	980	438
691	981	436
692	982	435
693	983	433
694	984	432
695	986	430
696	987	429
697	988	427
698	989	426
699	993	425
700	994	424
701	995	422
702	996	421
703	997	419
704	999	418
705	1000	416
706	1001	415
707	1002	413
708	1004	412
709	1007	411
710	1008	409
711	1009	408
712	1010	406
713	1012	405
714	1014	404
715	1016	403
716	1017	401
717	1018	400
718	1021	399
719	1022	397
720	1024	396
721	1025	394
722	1027	393
723	1028	392
724	1030	390
725	1031	389
726	1032	387
727	1034	386
728	1041	387
729	1042	385
730	1044	384
731	1045	382
732	1047	381
733	1050	380
734	1053	379
735	1054	378
736	1056	376
737	1057	375
738	1058	373
739	1069	375
740	1071	374
741	1073	373
742	1075	371
743	1077	370
744	1079	369
745	1082	368
746	1083	367
747	1085	365
748	1086	364
749	1089	363
750	1090	361
751	1092	360
752	1093	358
753	1097	357
754	1098	356
755	1100	355
756	1102	354
757	1104	352
758	1106	351
759	1107	349
760	1108	348
761	1112	347
762	1113	345
763	1114	344
764	1116	342
765	1117	341
766	1119	340
767	1121	338
768	1122	337
769	1127	336
770	1128	335
771	1130	333
772	1131	332
773	1133	330
774	1134	329
775	1135	327
776	1136	326
777	1138	324
778	1139	323
779	1142	322
780	1144	320
781	1145	319
782	1146	317
783	1148	316
784	1149	314
785	1150	313
786	1151	311
787	1153	310
788	1154	308
789	1156	307
790	1157	305
791	1159	304
792	1160	302
793	1161	301
794	1162	299
795	1164	298
796	1165	296
797	1167	295
798	1168	294
799	1171	292
800	1172	291
801	1173	289
802	1174	288
803	1175	286
804	1177	285
805	1178	283
806	1181	282
807	1183	281
808	1185	279
809	1187	278
810	1188	277
811	1190	275
812	1191	274
813	1192	272
814	1193	270
815	1195	269
816	1196	268
817	1198	266
818	1203	266
819	1205	264
820	1206	262
821	1207	261
822	1208	259
823	1209	258
824	1211	256
825	1212	255
826	1214	254
827	1217	252
828	1220	251
829	1222	250
830	1223	248
831	1225	247
832	1226	245
833	1228	244
834	1231	243
835	1233	241
836	1235	240
837	1236	239
838	1237	237
839	1239	236
840	1240	234
841	1241	232
842	1243	231
843	1246	230
844	1249	229
845	1250	227
846	1251	226
847	1252	224
848	1254	223
849	1255	221
850	1257	220
851	1259	218
852	1262	217
853	1264	216
854	1265	214
855	1267	213
856	1268	211
857	1269	210
858	1270	208
859	1271	207
860	1274	205
861	1276	204
862	1278	203
863	1280	201
864	1281	200
865	1282	198
866	1283	196
867	1284	195
868	1285	193
869	1287	192
870	1289	190
871	1290	189
872	1292	187
873	1293	186
874	1294	184
875	1295	183
876	1296	181
877	1297	180
878	1298	178
879	1300	177
880	1301	175
881	1303	174
882	1304	172
883	1306	171
884	1307	169
885	1308	168
886	1309	166
887	1311	165
888	1312	163
889	1313	162
890	1314	160
891	1315	159
892	1316	157
893	1319	156
894	1321	154
895	1322	153
896	1323	151
897	1324	150
898	1325	148
899	1326	147
900	1327	145
901	1328	144
902	1329	142
903	1331	141
904	1333	140
905	1334	138
906	1336	136
907	1337	135
908	1338	133
909	1339	132
910	1340	130
911	1341	129
912	1342	127
913	1343	126
914	1344	124
915	1345	123
916	1347	121
917	1348	120
918	1349	118
919	1350	117
920	1351	115
921	1352	114
922	1353	112
923	1354	111
924	1355	109
925	1356	108
926	1357	106
927	1358	105
928	1359	103
929	1360	102
930	1362	100
931	1363	99
932	1365	98
933	1366	96
934	1367	95
935	1368	93
936	1369	92
937	1370	90
938	1371	89
939	1372	87
940	1373	86
941	1374	84
942	1376	83
943	1377	81
944	1378	80
945	1380	78
946	1381	77
947	1382	75
948	1383	74
949	1384	72
950	1386	71
951	1387	69
952	1388	68
953	1390	67
954	1392	65
955	1393	64
956	1395	62
957	1396	61
958	1397	59
959	1398	58
960	1399	56
961	1400	55
962	1402	53
963	1403	52
964	1405	50
965	1408	49
966	1409	48
967	1410	46
968	1411	45
969	1412	43
970	1413	42
971	1414	40
972	1416	39
973	1417	37
974	1418	36
975	1420	34
976	1422	33
977	1423	32
978	1424	30
979	1425	29
980	1427	27
981	1428	26
982	1429	24
983	1430	23
984	1431	21
985	1432	20
986	1433	18
987	1435	17
988	1436	15
989	1438	14
990	1439	13
991	1440	11
992	1441	10
993	1442	8
994	1443	7
995	1445	5
996	1446	4
997	1447	2
998	1448	1
999	1450	0
